name,link,port_size,port_type,deglon,deglat,lon,lat
Port Soubise Marina,http://www.worldportsource.com/ports/FRA_Port_Soubise_Marina_5040.php,Very Small,River Port,"1° 0' 23"" W","45° 55' 47"" N",1.006389,45.929722
Port of St-Gilles-Croix-de-Vie,http://www.worldportsource.com/ports/FRA_Port_of_St_Gilles_Croix_de_Vie_4921.php,Small,Harbor,"1° 56' 37"" W","46° 41' 41"" N",1.943611,46.694722
Port of Strasbourg,http://www.worldportsource.com/ports/FRA_Port_of_Strasbourg_2761.php,Medium,River Port,"7° 47' 43"" E","48° 33' 16"" N",7.795278,48.554444
Port de la Figueirette,http://www.worldportsource.com/ports/FRA_Port_de_la_Figueirette_5608.php,Very Small,Harbor,"6° 56' 2"" E","43° 29' 1"" N",6.933889,43.483611
Port of Theoule-sur-Mer,http://www.worldportsource.com/ports/FRA_Port_of_Theoule_sur_Mer_5609.php,Very Small,Harbor,"6° 56' 21"" E","43° 30' 29"" N",6.939167,43.508056
Port of Tonnay-Charente,http://www.worldportsource.com/ports/FRA_Port_of_Tonnay_Charente_2757.php,Small,River Port,"0° 53' 31"" W","45° 56' 32"" N",0.891944,45.942222
Port of Toulon La Seyne,http://www.worldportsource.com/ports/FRA_Port_of_Toulon_La_Seyne_2018.php,Medium,Seaport,"5° 54' 27"" E","43° 6' 38"" N",5.9075,43.110556
Port of Trebeurden,http://www.worldportsource.com/ports/FRA_Port_of_Trebeurden_5544.php,Small,Harbor,"3° 35' 10"" W","48° 46' 14"" N",3.586111,48.770556
Port of Treguier,http://www.worldportsource.com/ports/FRA_Port_of_Treguier_1240.php,Small,River Port,"3° 13' 20"" W","48° 47' 9"" N",3.222222,48.785833
Port of Ushant,http://www.worldportsource.com/ports/FRA_Port_of_Ushant_5552.php,Very Small,Harbor,"5° 5' 49"" W","48° 27' 14"" N",5.096944,48.453889
Port de l'Eperviere,http://www.worldportsource.com/ports/FRA_Port_de_l_Eperviere_5045.php,Small,Marina,"4° 52' 24"" E","44° 54' 49"" N",4.873333,44.913611
Port of Valras-Plage,http://www.worldportsource.com/ports/FRA_Port_of_Valras_Plage_5573.php,Small,Harbor,"3° 17' 53"" E","43° 15' 6"" N",3.298056,43.251667
Port of Vannes,http://www.worldportsource.com/ports/FRA_Port_of_Vannes_2762.php,Small,Harbor,"2° 45' 29"" W","47° 38' 48"" N",2.758056,47.646667
Port de Villefranche Darse,http://www.worldportsource.com/ports/FRA_Port_de_Villefranche_Darse_2727.php,Small,Harbor,"7° 18' 29"" E","43° 41' 54"" N",7.308056,43.698333
Port Health,http://www.worldportsource.com/ports/FRA_Port_Health_5627.php,Very Small,Harbor,"7° 18' 44"" E","43° 42' 9"" N",7.312222,43.7025
Marina de Villeneuve-Loubet,http://www.worldportsource.com/ports/FRA_Marina_de_Villeneuve_Loubet_5625.php,Small,Harbor,"7° 8' 18"" E","43° 38' 4"" N",7.138333,43.634444
