name,link,port_size,port_type,deglon,deglat,lon,lat
Port of Gruissan,http://www.worldportsource.com/ports/FRA_Port_of_Gruissan_5571.php,Small,Harbor,"3° 5' 47"" E","43° 6' 20"" N",3.096389,43.105556
Port of Guadeloupe,http://www.worldportsource.com/ports/FRA_Port_of_Guadeloupe_1232.php,Medium,Seaport,"61° 32' 34"" W","16° 14' 6"" N",61.542778,16.235
Port Guidel ,http://www.worldportsource.com/ports/FRA_Port_Guidel__5033.php,Very Small,Marina,"3° 31' 44"" W","47° 46' 20"" N",3.528889,47.772222
Port of Guilvinec,http://www.worldportsource.com/ports/FRA_Port_of_Guilvinec_4912.php,Small,Harbor,"4° 16' 49"" W","47° 47' 36"" N",4.280278,47.793333
Port of Gurgazu,http://www.worldportsource.com/ports/FRA_Port_of_Gurgazu_5640.php,Very Small,Harbor,"9° 13' 21"" E","41° 24' 17"" N",9.2225,41.404722
Port of Haut Indre,http://www.worldportsource.com/ports/FRA_Port_of_Haut_Indre_4447.php,Very Small,River Port,"1° 38' 40"" W","47° 11' 33"" N",1.644444,47.1925
Port of Hendaye,http://www.worldportsource.com/ports/FRA_Port_of_Hendaye_5567.php,Small,Harbor,"1° 46' 53"" W","43° 22' 9"" N",1.781389,43.369167
Port de Hennebont,http://www.worldportsource.com/ports/FRA_Port_de_Hennebont_5048.php,Small,River Port,"3° 16' 36"" W","47° 47' 55"" N",3.276667,47.798611
Port of Hoedic,http://www.worldportsource.com/ports/FRA_Port_of_Hoedic_5616.php,Very Small,Harbor,"2° 52' 32"" W","47° 20' 37"" N",2.875556,47.343611
Port of Honfleur,http://www.worldportsource.com/ports/FRA_Port_of_Honfleur_1233.php,Small,River Port,"0° 14' 10"" E","49° 25' 20"" N",0.236111,49.422222
Port of Houat,http://www.worldportsource.com/ports/FRA_Port_of_Houat_5615.php,Very Small,Harbor,"2° 57' 25"" W","47° 23' 33"" N",2.956944,47.3925
Port of Hyeres,http://www.worldportsource.com/ports/FRA_Port_of_Hyeres_5422.php,Small,Harbor,"6° 9' 32"" E","43° 4' 56"" N",6.158889,43.082222
Port of Ile de Porquerolles,http://www.worldportsource.com/ports/FRA_Port_of_Ile_de_Porquerolles_5595.php,Small,Harbor,"6° 12' 0"" E","43° 0' 8"" N",6.2,43.002222
Port of Ile de Saint-Nicolas,http://www.worldportsource.com/ports/FRA_Port_of_Ile_de_Saint_Nicolas_5617.php,Very Small,Harbor,"4° 0' 10"" W","47° 43' 20"" N",4.002778,47.722222
Port of Ile de Sein,http://www.worldportsource.com/ports/FRA_Port_of_Ile_de_Sein_5550.php,Small,Harbor,"4° 50' 51"" W","48° 2' 6"" N",4.8475,48.035
Port of Ile des Embiez,http://www.worldportsource.com/ports/FRA_Port_of_Ile_des_Embiez_5591.php,Small,Off-Shore Terminal,"5° 47' 5"" E","43° 4' 42"" N",5.784722,43.078333
Port of Ile du Levant,http://www.worldportsource.com/ports/FRA_Port_of_Ile_du_Levant_5596.php,Small,Harbor,"6° 27' 13"" E","43° 1' 37"" N",6.453611,43.026944
Port of Ile Longue,http://www.worldportsource.com/ports/FRA_Port_of_Ile_Longue_5548.php,Small,Seaport,"4° 30' 1"" W","48° 18' 29"" N",4.500278,48.308056
Port of Ile Rousse,http://www.worldportsource.com/ports/FRA_Port_of_Ile_Rousse_2735.php,Small,Harbor,"8° 56' 15"" E","42° 38' 23"" N",8.9375,42.639722
Port of Ile-Molene,http://www.worldportsource.com/ports/FRA_Port_of_Ile_Molene_5618.php,Very Small,"Pier, Jetty or Wharf","4° 57' 26"" W","48° 24' 5"" N",4.957222,48.401389
Port of Jard-sur-Mer,http://www.worldportsource.com/ports/FRA_Port_of_Jard_sur_Mer_5559.php,Small,Harbor,"1° 34' 54"" W","46° 24' 29"" N",1.581667,46.408056
Port du Crouton,http://www.worldportsource.com/ports/FRA_Port_du_Crouton_5623.php,Small,Harbor,"7° 7' 8"" E","43° 33' 37"" N",7.118889,43.560278
Port Gallice,http://www.worldportsource.com/ports/FRA_Port_Gallice_5622.php,Small,Off-Shore Terminal,"7° 6' 56"" E","43° 33' 43"" N",7.115556,43.561944
Port de Morin,http://www.worldportsource.com/ports/FRA_Port_de_Morin_5037.php,Small,Harbor,"2° 17' 28"" W","46° 59' 0"" N",2.291111,46.983333
Port of L'Estaque,http://www.worldportsource.com/ports/FRA_Port_of_L_Estaque_5584.php,Small,Harbor,"5° 18' 24"" E","43° 21' 36"" N",5.306667,43.36
Port Joinville,http://www.worldportsource.com/ports/FRA_Port_Joinville_4922.php,Small,Harbor,"2° 20' 46"" W","46° 43' 37"" N",2.346111,46.726944
Port of La Ciotat,http://www.worldportsource.com/ports/FRA_Port_of_La_Ciotat_2736.php,Small,Harbor,"5° 36' 41"" E","43° 10' 15"" N",5.611389,43.170833
Port de La Grande-Motte,http://www.worldportsource.com/ports/FRA_Port_de_La_Grande_Motte_5577.php,Small,Harbor,"4° 4' 53"" E","43° 33' 21"" N",4.081389,43.555833
Port of La Londe-les-Maures,http://www.worldportsource.com/ports/FRA_Port_of_La_Londe_les_Maures_5597.php,Small,Harbor,"6° 14' 49"" E","43° 6' 54"" N",6.246944,43.115
Port of La Mede,http://www.worldportsource.com/ports/FRA_Port_of_La_Mede_4448.php,Very Small,Harbor,"5° 6' 41"" E","43° 24' 2"" N",5.111389,43.400556
Port de la Meule,http://www.worldportsource.com/ports/FRA_Port_de_la_Meule_5558.php,Very Small,Harbor,"2° 20' 42"" W","46° 41' 38"" N",2.345,46.693889
Port of La Palmyre,http://www.worldportsource.com/ports/FRA_Port_of_La_Palmyre_5562.php,Small,Harbor,"1° 11' 1"" W","45° 41' 4"" N",1.183611,45.684444
Port de La Roche Bernard,http://www.worldportsource.com/ports/FRA_Port_de_La_Roche_Bernard_5031.php,Small,River Port,"2° 18' 22"" W","47° 31' 17"" N",2.306111,47.521389
Port of La Rochelle,http://www.worldportsource.com/ports/FRA_Port_of_La_Rochelle_1234.php,Small,Harbor,"1° 9' 44"" W","46° 8' 48"" N",1.162222,46.146667
Port de la Tour Fondue,http://www.worldportsource.com/ports/FRA_Port_de_la_Tour_Fondue_5594.php,Very Small,"Pier, Jetty or Wharf","6° 9' 16"" E","43° 1' 38"" N",6.154444,43.027222
Le port de La Trinite sur Mer,http://www.worldportsource.com/ports/FRA_Le_port_de_La_Trinite_sur_Mer_5028.php,Small,Harbor,"3° 1' 31"" W","47° 35' 22"" N",3.025278,47.589444
Port of Lagny-Saint Thibault,http://www.worldportsource.com/ports/FRA_Port_of_Lagny_Saint_Thibault_2747.php,Small,River Port,"2° 41' 47"" E","48° 52' 49"" N",2.696389,48.880278
Lancieux ,http://www.worldportsource.com/ports/FRA_Lancieux__5026.php,Very Small,Harbor,"2° 9' 27"" W","48° 36' 41"" N",2.1575,48.611389
Port of Landeda,http://www.worldportsource.com/ports/FRA_Port_of_Landeda_5545.php,Small,Harbor,"4° 33' 40"" W","48° 35' 55"" N",4.561111,48.598611
Port of Landerneau,http://www.worldportsource.com/ports/FRA_Port_of_Landerneau_4910.php,Small,River Port,"4° 15' 26"" W","48° 26' 54"" N",4.257222,48.448333
Port of Lanildut,http://www.worldportsource.com/ports/FRA_Port_of_Lanildut_5546.php,Small,Harbor,"4° 45' 16"" W","48° 28' 15"" N",4.754444,48.470833
Port Autonome de Marse,http://www.worldportsource.com/ports/FRA_Port_Autonome_de_Marse_4450.php,Small,Seaport,"5° 0' 12"" E","43° 23' 33"" N",5.003333,43.3925
Port of Le Chateau D'Oleron,http://www.worldportsource.com/ports/FRA_Port_of_Le_Chateau_D_Oleron_4449.php,Small,Harbor,"1° 11' 29"" W","45° 53' 1"" N",1.191389,45.883611
Port of Le Conquet,http://www.worldportsource.com/ports/FRA_Port_of_Le_Conquet_5547.php,Small,Harbor,"4° 46' 42"" W","48° 21' 42"" N",4.778333,48.361667
Port of Le Croisic,http://www.worldportsource.com/ports/FRA_Port_of_Le_Croisic_4916.php,Small,Harbor,"2° 30' 44"" W","47° 17' 45"" N",2.512222,47.295833
Port de Le Grau-du-Roi,http://www.worldportsource.com/ports/FRA_Port_de_Le_Grau_du_Roi_5578.php,Small,Harbor,"4° 7' 53"" E","43° 31' 2"" N",4.131389,43.517222
Port of Le Guildo,http://www.worldportsource.com/ports/FRA_Port_of_Le_Guildo_2738.php,Small,Harbor,"2° 12' 54"" W","48° 34' 25"" N",2.215,48.573611
Port of Le Lavandou,http://www.worldportsource.com/ports/FRA_Port_of_Le_Lavandou_5599.php,Small,Harbor,"6° 22' 26"" E","43° 8' 11"" N",6.373889,43.136389
Port of Le Palais,http://www.worldportsource.com/ports/FRA_Port_of_Le_Palais_5613.php,Small,Harbor,"3° 9' 18"" W","47° 20' 52"" N",3.155,47.347778
Le Pouliguen Marina,http://www.worldportsource.com/ports/FRA_Le_Pouliguen_Marina_4919.php,Small,Marina,"2° 25' 31"" W","47° 16' 42"" N",2.425278,47.278333
Port des Oursinieres au Pradet,http://www.worldportsource.com/ports/FRA_Port_des_Oursinieres_au_Pradet_5593.php,Small,Harbor,"6° 1' 9"" E","43° 5' 5"" N",6.019167,43.084722
Port of Le Treport,http://www.worldportsource.com/ports/FRA_Port_of_Le_Treport_2739.php,Small,Harbor,"1° 22' 36"" E","50° 3' 43"" N",1.376667,50.061944
Port of Le Verdon,http://www.worldportsource.com/ports/FRA_Port_of_Le_Verdon_4433.php,Small,Seaport,"1° 2' 43"" W","45° 32' 29"" N",1.045278,45.541389
Port of Les Issambres,http://www.worldportsource.com/ports/FRA_Port_of_Les_Issambres_5602.php,Small,Harbor,"6° 41' 9"" E","43° 20' 25"" N",6.685833,43.340278
Port of Les Sables d'Olonne,http://www.worldportsource.com/ports/FRA_Port_of_Les_Sables_d_Olonne_4453.php,Small,Harbor,"1° 47' 38"" W","46° 29' 48"" N",1.793889,46.496667
Port of Lesconil,http://www.worldportsource.com/ports/FRA_Port_of_Lesconil_4913.php,Small,Harbor,"4° 12' 47"" W","47° 47' 46"" N",4.213056,47.796111
Port of Lezardrieux,http://www.worldportsource.com/ports/FRA_Port_of_Lezardrieux_4900.php,Small,Harbor,"3° 6' 0"" W","48° 47' 9"" N",3.1,48.785833
Port of Libourne,http://www.worldportsource.com/ports/FRA_Port_of_Libourne_2740.php,Small,River Port,"0° 15' 2"" W","44° 54' 58"" N",0.250556,44.916111
Port de Lille,http://www.worldportsource.com/ports/FRA_Port_de_Lille_5023.php,Small,River Port,"3° 1' 22"" E","50° 37' 30"" N",3.022778,50.625
Port of Limay-Porcheville,http://www.worldportsource.com/ports/FRA_Port_of_Limay_Porcheville_2745.php,Small,River Port,"1° 44' 38"" E","48° 58' 32"" N",1.743889,48.975556
Port of Locquemeau,http://www.worldportsource.com/ports/FRA_Port_of_Locquemeau_4898.php,Small,Harbor,"3° 34' 35"" W","48° 43' 29"" N",3.576389,48.724722
Port of Loctudy,http://www.worldportsource.com/ports/FRA_Port_of_Loctudy_4454.php,Small,Harbor,"4° 10' 32"" W","47° 50' 11"" N",4.175556,47.836389
Port de Loguivy-de-la-mer,http://www.worldportsource.com/ports/FRA_Port_de_Loguivy_de_la_mer_4901.php,Small,Harbor,"3° 3' 35"" W","48° 49' 20"" N",3.059722,48.822222
Port of Lorient,http://www.worldportsource.com/ports/FRA_Port_of_Lorient_1235.php,Medium,Seaport,"3° 21' 12"" W","47° 44' 3"" N",3.353333,47.734167
Port of Luri,http://www.worldportsource.com/ports/FRA_Port_of_Luri_5646.php,Very Small,Harbor,"9° 28' 31"" E","42° 53' 16"" N",9.475278,42.887778
Port of Macinaggio,http://www.worldportsource.com/ports/FRA_Port_of_Macinaggio_5647.php,Small,Harbor,"9° 27' 16"" E","42° 57' 34"" N",9.454444,42.959444
Port de la Rague,http://www.worldportsource.com/ports/FRA_Port_de_la_Rague_5610.php,Small,Harbor,"6° 56' 20"" E","43° 30' 57"" N",6.938889,43.515833
Port de Mandelieu la Napoule,http://www.worldportsource.com/ports/FRA_Port_de_Mandelieu_la_Napoule_5611.php,Small,Harbor,"6° 56' 47"" E","43° 31' 28"" N",6.946389,43.524444
Port of Marans,http://www.worldportsource.com/ports/FRA_Port_of_Marans_2741.php,Small,River Port,"0° 59' 50"" W","46° 18' 46"" N",0.997222,46.312778
Port of Marseillan,http://www.worldportsource.com/ports/FRA_Port_of_Marseillan_5575.php,Small,Harbor,"3° 32' 4"" E","43° 21' 11"" N",3.534444,43.353056
Port de la Pointe Rouge,http://www.worldportsource.com/ports/FRA_Port_de_la_Pointe_Rouge_5585.php,Small,Harbor,"5° 21' 56"" E","43° 14' 37"" N",5.365556,43.243611
Port de Menton Garavan,http://www.worldportsource.com/ports/FRA_Port_de_Menton_Garavan_5633.php,Small,Harbor,"7° 31' 4"" E","43° 46' 58"" N",7.517778,43.782778
Port Municipal de Menton,http://www.worldportsource.com/ports/FRA_Port_Municipal_de_Menton_5634.php,Small,Harbor,"7° 30' 35"" E","43° 46' 34"" N",7.509722,43.776111
Port of Meschers-sur-Gironde,http://www.worldportsource.com/ports/FRA_Port_of_Meschers_sur_Gironde_5564.php,Small,Harbor,"0° 56' 41"" W","45° 33' 16"" N",0.944722,45.554444
Port Messery,http://www.worldportsource.com/ports/FRA_Port_Messery_5036.php,Very Small,"Pier, Jetty or Wharf","6° 16' 39"" E","46° 20' 59"" N",6.2775,46.349722
Port of Montereau,http://www.worldportsource.com/ports/FRA_Port_of_Montereau_2750.php,Small,River Port,"2° 57' 31"" E","48° 23' 19"" N",2.958611,48.388611
Port of Morgat,http://www.worldportsource.com/ports/FRA_Port_of_Morgat_5549.php,Small,Harbor,"4° 29' 48"" W","48° 13' 26"" N",4.496667,48.223889
Port of Morlaix,http://www.worldportsource.com/ports/FRA_Port_of_Morlaix_2742.php,Small,Harbor,"3° 50' 9"" W","48° 35' 7"" N",3.835833,48.585278
Port of Nanterre,http://www.worldportsource.com/ports/FRA_Port_of_Nanterre_4455.php,Small,River Port,"2° 11' 0"" E","48° 53' 59"" N",2.183333,48.899722
Port of Nice,http://www.worldportsource.com/ports/FRA_Port_of_Nice_2725.php,Small,Seaport,"7° 17' 13"" E","43° 41' 38"" N",7.286944,43.693889
Port of Herbaudiere,http://www.worldportsource.com/ports/FRA_Port_of_Herbaudiere_4920.php,Small,Harbor,"2° 17' 53"" W","47° 1' 32"" N",2.298056,47.025556
Port of Ouessant,http://www.worldportsource.com/ports/FRA_Port_of_Ouessant_5551.php,Very Small,Harbor,"5° 3' 17"" W","48° 28' 9"" N",5.054722,48.469167
Port of Paimboeuf,http://www.worldportsource.com/ports/FRA_Port_of_Paimboeuf_2743.php,Small,Seaport,"2° 1' 41"" W","47° 17' 19"" N",2.028056,47.288611
Port of Paimpol,http://www.worldportsource.com/ports/FRA_Port_of_Paimpol_2717.php,Small,Harbor,"3° 2' 34"" W","48° 47' 2"" N",3.042778,48.783889
Port of Palavas-les-Flots,http://www.worldportsource.com/ports/FRA_Port_of_Palavas_les_Flots_5576.php,Small,Harbor,"3° 55' 45"" E","43° 31' 41"" N",3.929167,43.528056
Port of Pauillac,http://www.worldportsource.com/ports/FRA_Port_of_Pauillac_4431.php,Small,Seaport,"0° 44' 38"" W","45° 12' 44"" N",0.743889,45.212222
Port of Penmarch,http://www.worldportsource.com/ports/FRA_Port_of_Penmarch_4914.php,Small,Harbor,"4° 22' 45"" W","47° 48' 52"" N",4.379167,47.814444
Port of Perros-Guirec,http://www.worldportsource.com/ports/FRA_Port_of_Perros_Guirec_5543.php,Small,Harbor,"3° 26' 26"" W","48° 48' 18"" N",3.440556,48.805
Port of Petit Couronne,http://www.worldportsource.com/ports/FRA_Port_of_Petit_Couronne_4456.php,Small,River Port,"1° 0' 32"" E","49° 22' 42"" N",1.008889,49.378333
Port of Pianottoli-Caldarello,http://www.worldportsource.com/ports/FRA_Port_of_Pianottoli_Caldarello_5639.php,Very Small,Harbor,"9° 4' 21"" E","41° 28' 30"" N",9.0725,41.475
Port of Pinarellu,http://www.worldportsource.com/ports/FRA_Port_of_Pinarellu_5643.php,Very Small,River Port,"9° 22' 34"" E","41° 40' 51"" N",9.376111,41.680833
Port of Piriac-sur-Mer,http://www.worldportsource.com/ports/FRA_Port_of_Piriac_sur_Mer_4917.php,Small,Marina,"2° 32' 37"" W","47° 22' 57"" N",2.543611,47.3825
Port of Pontrieux,http://www.worldportsource.com/ports/FRA_Port_of_Pontrieux_4899.php,Small,River Port,"3° 9' 1"" W","48° 42' 24"" N",3.150278,48.706667
Port of Pornic,http://www.worldportsource.com/ports/FRA_Port_of_Pornic_5556.php,Small,Harbor,"2° 6' 30"" W","47° 6' 39"" N",2.108333,47.110833
Pornichet Marina,http://www.worldportsource.com/ports/FRA_Pornichet_Marina_4918.php,Small,Marina,"2° 20' 48"" W","47° 15' 33"" N",2.346667,47.259167
Port of Pors-Even,http://www.worldportsource.com/ports/FRA_Port_of_Pors_Even_4902.php,Small,Harbor,"3° 0' 22"" W","48° 47' 58"" N",3.006111,48.799444
Port of Port de Bouc,http://www.worldportsource.com/ports/FRA_Port_of_Port_de_Bouc_4451.php,Small,Harbor,"4° 58' 52"" E","43° 24' 6"" N",4.981111,43.401667
Port of Port La Nouvelle,http://www.worldportsource.com/ports/FRA_Port_of_Port_La_Nouvelle_2728.php,Medium,Seaport,"3° 3' 17"" E","43° 1' 10"" N",3.054722,43.019444
Port Leucate,http://www.worldportsource.com/ports/FRA_Port_Leucate_5041.php,Small,Marina,"3° 2' 28"" E","42° 52' 3"" N",3.041111,42.8675
Port St Louis du Rhone,http://www.worldportsource.com/ports/FRA_Port_St_Louis_du_Rhone_4457.php,Medium,Seaport,"4° 49' 38"" E","43° 22' 59"" N",4.827222,43.383056
Port of Port Vendres,http://www.worldportsource.com/ports/FRA_Port_of_Port_Vendres_2754.php,Small,Harbor,"3° 6' 29"" E","42° 31' 10"" N",3.108056,42.519444
Marine de Porto,http://www.worldportsource.com/ports/FRA_Marine_de_Porto_5638.php,Very Small,Harbor,"8° 41' 39"" E","42° 16' 0"" N",8.694167,42.266667
Port of Porto Vecchio,http://www.worldportsource.com/ports/FRA_Port_of_Porto_Vecchio_2719.php,Small,Harbor,"9° 17' 26"" E","41° 35' 35"" N",9.290556,41.593056
Port of Propriano,http://www.worldportsource.com/ports/FRA_Port_of_Propriano_2720.php,Small,Harbor,"8° 54' 2"" E","41° 40' 37"" N",8.900556,41.676944
Port Haliguen,http://www.worldportsource.com/ports/FRA_Port_Haliguen_5030.php,Small,Harbor,"3° 6' 2"" W","47° 29' 14"" N",3.100556,47.487222
Port of Quimper,http://www.worldportsource.com/ports/FRA_Port_of_Quimper_2755.php,Small,River Port,"4° 6' 46"" W","47° 59' 22"" N",4.112778,47.989444
Port of Redon,http://www.worldportsource.com/ports/FRA_Port_of_Redon_4915.php,Small,River Port,"2° 5' 18"" W","47° 38' 46"" N",2.088333,47.646111
Port of Reims,http://www.worldportsource.com/ports/FRA_Port_of_Reims_5234.php,Small,River Port,"4° 1' 38"" E","49° 14' 52"" N",4.027222,49.247778
Port of Robine,http://www.worldportsource.com/ports/FRA_Port_of_Robine_4923.php,Very Small,River Port,"2° 56' 44"" E","43° 15' 40"" N",2.945556,43.261111
Port of Rochefort,http://www.worldportsource.com/ports/FRA_Port_of_Rochefort_2756.php,Small,River Port,"0° 57' 16"" W","45° 56' 57"" N",0.954444,45.949167
Port of Roscoff-Bloscon,http://www.worldportsource.com/ports/FRA_Port_of_Roscoff_Bloscon_2758.php,Small,Harbor,"3° 58' 39"" W","48° 43' 30"" N",3.9775,48.725
Port Roussillon,http://www.worldportsource.com/ports/FRA_Port_Roussillon_5034.php,Small,Harbor,"3° 2' 11"" E","42° 42' 13"" N",3.036389,42.703611
Port of Royan,http://www.worldportsource.com/ports/FRA_Port_of_Royan_5563.php,Small,Harbor,"1° 1' 45"" W","45° 37' 9"" N",1.029167,45.619167
Port of Saint Brieuc,http://www.worldportsource.com/ports/FRA_Port_of_Saint_Brieuc_4452.php,Small,Harbor,"2° 43' 53"" W","48° 31' 41"" N",2.731389,48.528056
Port Saint Goustan,http://www.worldportsource.com/ports/FRA_Port_Saint_Goustan_5035.php,Very Small,River Port,"2° 58' 41"" W","47° 39' 45"" N",2.978056,47.6625
Port de Saint Laurent du Var,http://www.worldportsource.com/ports/FRA_Port_de_Saint_Laurent_du_Var_5626.php,Small,Harbor,"7° 11' 0"" E","43° 39' 21"" N",7.183333,43.655833
Port Saint Suliac,http://www.worldportsource.com/ports/FRA_Port_Saint_Suliac_5047.php,Small,"Pier, Jetty or Wharf","1° 58' 38"" W","48° 34' 6"" N",1.977222,48.568333
Port of Saint Valery-en-Caux,http://www.worldportsource.com/ports/FRA_Port_of_Saint_Valery_en_Caux_2759.php,Small,Harbor,"0° 42' 42"" E","49° 52' 6"" N",0.711667,49.868333
Port of Saint Valery-sur-Somme,http://www.worldportsource.com/ports/FRA_Port_of_Saint_Valery_sur_Somme_2760.php,Small,Harbor,"1° 38' 43"" E","50° 10' 47"" N",1.645278,50.179722
