ident,total,city,lat,long
ES_1ESFRO,11154,Ferrol,43.4846862,-8.233162
ES_1ESGIJ,17220,Gijón,43.5450394,-5.6626443
ES_1ESLCG,13584,La Coruña,43.3712091,-8.3958768
ES_1ESPAS,3179,Pasajes,43.3239952,-1.9200587
ES_1ESSDR,6105,Santander,43.4620412,-3.8099719
ES_1ESVGO,3654,Vigo,42.2376602,-8.7247205
ES_1ESVIL,1224,Villagarcía (de Arosa),42.5947625,-8.7669178
ES_2ESAGA,414,Agaete,28.1008499,-15.7023479
ES_2ESAGP,2815,Málaga,36.7213028,-4.4216366
ES_2ESALC,2516,Alicante,38.353738,-0.4901846
ES_2ESALG,89908,Algeciras,36.1311725,-5.4473991
ES_2ESBCN,54713,Barcelona,41.3828939,2.1774322
ES_2ESCAD,4015,Cádiz,36.5297438,-6.2928976
ES_2ESCAR,33933,Cartagena,37.6267868,-1.0006184
ES_2ESGAR,6622,Garrucha,37.1853447,-1.8204711
ES_2ESHUV,33255,Huelva,37.2575874,-6.9484945
ES_2ESLEI,5201,Almería,36.8414197,-2.4628135
ES_2ESLPA,19850,Las Palmas,28.128874,-15.4349448
ES_2ESMJB,124,Morro Jable,28.0501834,-14.3522311
ES_2ESMOT,2453,Motril,36.7450888,-3.5207655
ES_2ESPAL,207,Palamós,41.8495354,3.1278785
ES_2ESQFU,133,Corralejo,28.7307235,-13.8651907
ES_2ESQLY,132,Playa Blanca,28.87135375,-13.838292741516547
ES_2ESSCT,9788,Santa Cruz de Tenerife,28.469648,-16.2540884
ES_2ESSVQ,3986,Sevilla,37.3886303,-5.9953403
ES_2ESTAR,32584,Tarragona,41.1172364,1.2546057
ES_2ESVLC,65308,Valencia,39.4697065,-0.3763353
ES_3ESCEU,1247,Ceuta,35.888361,-5.304138
ES_4ESMLN,464,Melilla,35.292906,-2.9507198551536247
FI_0FIHEL,14370,Helsinki,60.1674881,24.9427473
FI_0FIHKO,6250,Hanko,59.8228008,22.9695005
FI_0FIINK,2950,Inkoo,60.0466389,24.0054417
FI_0FIKAS,1077,Kaskinen,62.3845858,21.2225761
FI_0FIKEM,2102,Kemi,65.7333404,24.5666495
FI_0FIKOK,6565,Kokkola,63.8391421,23.1336845
