ident,city,lat,long
NO_0NOHFT,Hammerfest,70.6413392,23.8360800591327
DE_3DEHAU,Hanau,NA,NA
FI_0FIHKO,Hanko,59.8228008,22.9695005
DK_0DKHAN,Hanstholm,NA,NA
NL_0NLHAN,Hansweert,NA,NA
DK_0DKHDH,Hardeshøj,NA,NA
NL_0NLHRX,Hardinxveld-Giessendam,NA,NA
NO_0NOHRI,Hareid,NA,NA
DE_1DEHRN,Haren/Ems,NA,NA
SE_1SEHAN,Hargshamn,60.1677683,18.4849255
NL_0NLHAR,Harlingen,26.1908241,-97.6959794
SE_1SEHND,Härnösand,NA,NA
NO_0NOHRD,Harstad,68.92973835000001,16.520913478350344
UK_1GBHRW,Harwich,51.9445801,1.2898522
DK_0DKHSL,Hasle,NA,NA
NL_0NLHAS,Hasselt,NA,NA
NO_0NOHAU,Haugesund,59.4154805,5.2636464
DK_0DKHNB,Havneby,NA,NA
DK_0DKHVN,Havnsø,NA,NA
DE_2DEHHF,Heiligenhafen,54.3717445,10.9809235
PL_0PLHEL,Hel,NA,NA
DE_1DEHGL,Helgoland,54.18004525,7.885362101180695
SE_1SEHEL,Helsingborg,56.0441984,12.7040684
DK_0DKHLS,Helsingør (Elsinore),56.0345277,12.6136135
FI_0FIHEL,Helsinki,60.1674881,24.9427473
EE_0EEHLT,Heltermaa,NA,NA
NL_0NLHIA,Hendrik-Ido-Ambacht,NA,NA
NL_0NLHGL,Hengelo,NA,NA
FR_1FRHET,Hennebont,NA,NA
UK_1GBHYM,Heysham,54.0494955,-2.890311
DE_3DEHIL,Hildesheim,NA,NA
DK_0DKHIR,Hirtshals,57.5908031,9.9649737
DK_0DKHBO,Hobro,NA,NA
DE_1DEHOD,Hochdonn,NA,NA
IS_0ISHFN,Höfn Hornafjörður,NA,NA
IS_0ISHOF,Hofsós,NA,NA
SE_2SEHOG,Höganäs,NA,NA
DE_1DEHHS,Hohenhörn,NA,NA
DK_0DKHBK,Holbæk,NA,NA
IS_0ISHVK,Hólmavík,NA,NA
NO_0NOHOL,Holmestrand,NA,NA
UK_1GBHLY,Holyhead,53.3106715,-4.6330966
FR_1FRHON,Honfleur,NA,NA
NO_0NOHVG,Honningsvåg,NA,NA
SE_2SEHON,Hönsäter,NA,NA
NL_0NLHTN,Hontenisse,NA,NA
DE_1DEHOO,Hooksiel,NA,NA
TR_1TRHOP,Hopa,NA,NA
DE_1DEHRM,Hörnum/Sylt,NA,NA
DK_0DKHOR,Horsens,NA,NA
PT_0PTHOR,"Horta (Ilha das Faial, Açores)",NA,NA
NO_0NOHOR,Horten,NA,NA
DK_0DKHOH,Hou Havn,NA,NA
FI_0FIHOU,Houtskär,NA,NA
IS_0ISHRI,Hrísey,NA,NA
SE_1SEHUV,Hudiksvall,NA,NA
ES_2ESHUV,Huelva,37.2575874,-6.9484945
UK_1GBHWZ,Hugh Town,NA,NA
UK_1GBHUL,Hull,53.7435722,-0.3394758
DK_0DKHUN,Hundested,NA,NA
SE_2SEHUN,Hunnebostrand,NA,NA
IS_0ISHUS,Húsavík,NA,NA
NO_0NOHUS,Husnes,NA,NA
DE_1DEHUS,Husum,54.4853638,9.0538156
SE_1SEHUS,Husum,54.4853638,9.0538156
IS_0ISHVR,Hvalfjørdur-Litlisandur,NA,NA
DK_0DKHVA,Hvalpsund,NA,NA
IS_0ISHVM,Hvammstangi,NA,NA
HR_0HRHVA,Hvar,NA,NA
NO_0NOHYR,Høyanger,NA,NA
DE_3DEIBB,Ibbenbüren,NA,NA
NO_0NOIBE,Ibestad,NA,NA
IS,Iceland,NA,NA
IS_0IS888,Iceland - other ports,NA,NA
EL_0GRIER,Ierapetra Lasithiou,NA,NA
EL_0GRIES,Ierissos Chalkidikis,NA,NA
SE_1SEIGG,Iggesund,61.6429635,17.0781216
TR_1TRIGN,Igneada,NA,NA
EL_0GRIGO,Igoumenitsa,39.5045294,20.2650921
UK_1GBIMM,Immingham,53.6159963,-0.2136727
IT_0ITIMP,Imperia,NA,NA
TR_1TRINE,Inebolu,NA,NA
FI_0FIINI,Iniö,NA,NA
FI_0FIINK,Inkoo,60.0466389,24.0054417
UK_1GBINK,Inverkeithing,NA,NA
UK_1GBINV,Inverness,NA,NA
EL_0GRIOS,Ios,NA,NA
UK_1GBIPS,Ipswich,52.0579495,1.1526345
EL_0GRHRK,"Irakleia, Kyklades",NA,NA
EL_0GRHER,Irakleio,40.7572526,23.0369864
IE,Ireland,NA,NA
IS_0ISISA,Ísafjörður,NA,NA
IT_0IT001,Ischia,NA,NA
TR_2TRISK,"Iskenderun, Hatay",NA,NA
FI_0FIISN,Isnäs,NA,NA
IT_0IT002,Isola d' Elba,NA,NA
IT_0ITIDG,Isola del Giglio,NA,NA
IT_0ITISS,Isola Santo Stefano,NA,NA
HR_0HRIST,Ist,NA,NA
TR_2TRIST,Istanbul,NA,NA
EL_0GRITM,Isthmia,NA,NA
IT,Italy,NA,NA
IT_0IT88Q,Italy (aggregates extraction areas) - other ports,NA,NA
IT_0IT88P,Italy (offshore installations) - other ports,NA,NA
IT_0IT88D,Italy - all ports (confidential data aggregated by Eurostat),NA,NA
IT_0IT888,Italy - other ports,NA,NA
EL_0GRITA,Itea,38.4334754,22.4239321
EL_0GRITH,Ithaki,NA,NA
DE_1DEITZ,Itzehoe,NA,NA
TR_2TRIZM,Izmir,NA,NA
TR_2TRIZT,Izmit,NA,NA
SI_0SIIZO,Izola,NA,NA
HR_0HRJAB,Jablanac,NA,NA
SE_1SEJAT,Jätterssön,NA,NA
HR_0HRJSA,Jelsa,NA,NA
NO_0NOJON,Jondal,NA,NA
DK_0DKJUE,Juelsminde Havn,NA,NA
DE_1DEJUI,Juist,53.6784483,6.9956079
SE_1SEKGG,Kagghamra,NA,NA
FI_0FIKJO,Kalajoki,NA,NA
EL_0GRKLX,Kalamata,NA,NA
EL_0GRKLD,Kalathos Rodou,NA,NA
SE_1SEKAX,Kalix,NA,NA
EL_0GR743,Kalloni Lesvou,NA,NA
SE_1SEKLR,Kalmar,56.6628826,16.3662382
SE_1SEKAL,Kalmarsand,NA,NA
EL_0GRKLS,Kaloi Limenes Rethymnou,NA,NA
DK_0DKKAL,Kalundborg,55.6833793,11.0993619
EL_0GRKMI,Kalymnos,NA,NA
EL_0GR745,Kameiros Rodou,NA,NA
NL_0NLKAM,Kampen,NA,NA
FI_0FIKNT,Kantvik,NA,NA
DE_2DEKAP,Kappeln,NA,NA
SE_1SEKPH,Kappelshamn,NA,NA
SE_1SEKPS,Kappelskär,NA,NA
EL_0GRKAP,Kapsali,NA,NA
TR_2TRKRB,Karabiga,NA,NA
HR_0HRKAB,Karlobag,NA,NA
EL_0GRKAR,Karlovasi,NA,NA
SE_1SEKXV,Karlsborg Axelvik,NA,NA
SE_1SEKAN,Karlshamn,56.1701723,14.8631279
SE_1SEKAA,Karlskrona,56.1621073,15.5866422
NO_0NOKAY,Karlsoy,NA,NA
SE_2SEKSD,Karlstad,59.3809146,13.5027631
NO_0NOKAS,Karmsund,NA,NA
EL_0GRAOK,Karpathos,NA,NA
EL_0GR854,Karra Chalkidikis,NA,NA
EL_0GRKST,Karystos,NA,NA
TR_2TRKAS,Kas,NA,NA
FI_0FIKAS,Kaskinen,62.3845858,21.2225761
EL_0GRKSJ,Kasos,NA,NA
EL_0GRKIS,Kasteli Kissamou,NA,NA
DK_0DKKTP,Kastrup,NA,NA
EL_0GRKAK,Katakolo,NA,NA
EL_0GRKVA,Kavala,40.9369224,24.4122766
EL_0GRKEA,Kea,NA,NA
EL_0GRKEF,Kefalos Kos,NA,NA
IS_0ISKEF,Keflavík,NA,NA
FI_0FIKEM,Kemi,65.7333404,24.5666495
FI_0FIKIM,Kemiö,NA,NA
EL_0GRKER,Keramoti,40.8590549,24.7037857
EL_0GRKTS,Keratsini,NA,NA
EL_0GRCFU,Kerkyra,NA,NA
DK_0DKKTD,Kerteminde,NA,NA
EL_0GRKIO,Kiato,NA,NA
DE_2DEKEL,Kiel,54.3227085,10.135555
IE_0IEKBS,Killybegs,NA,NA
UK_1GBKLR,Kilroot,NA,NA
UK_1GBKPS,Kilroot Power Station Jetty,NA,NA
IE_0IEKLR,Kilrush,NA,NA
EL_0GRKMS,Kimolos,NA,NA
UK_1GBKLN,King's Lynn,NA,NA
IE_0IEKLN,Kinsale,NA,NA
NO_0NOKKN,Kirkenes,69.7271478,30.0448971
UK_1GBKWL,Kirkwall,58.9816049,-2.960369
NO_0NONTY,Kjøpmannskjær/Nøtterøy,NA,NA
LT_0LTKLJ,Klaipeda,55.7127529,21.1350469
DK_0DKKLP,Kleppen,NA,NA
SE_1SEKLI,Klintehamn,57.3863942,18.2028447
EL_0GRKIN,"Koilas Ermionidas, Argolida",NA,NA
FI_0FIKKR,Kökar,NA,NA
FI_0FIKOK,Kokkola,63.8391421,23.1336845
DK_0DKKOK,Kolby Kås Havn,NA,NA
DK_0DKKOL,Kolding,55.4894999,9.47905
DE_3DECGN,Köln,NA,NA
PL_0PLKOL,Kolobrzeg,NA,NA
HR_0HRKMZ,Komiza,NA,NA
IS_0ISKOP,Kópasker,NA,NA
IS_0ISKOV,Kópavogur,NA,NA
SI_0SIKOP,Koper,11.0968195,-2.9290149
SE_1SEKOG,Köping,59.5137434,15.9970475
HR_0HRKOR,Korcula,NA,NA
EL_0GRKRT,Korinthos,NA,NA
FI_0FIKOR,Korpoo,NA,NA
DK_0DKKRR,Korsør,NA,NA
EL_0GR755,Korthio Androu,NA,NA
EL_0GRKGS,Kos,NA,NA
EL_0GRKEM,Kosta Ermionidas,NA,NA
FI_0FIKTK,Kotka,NA,NA
ME_0MEKOT,Kotor,NA,NA
EL_0GRKOF,"Koufonisi, Kyklades",NA,NA
FR_3GFQKR,Kourou (Guyane),NA,NA
FI_0FIKVH,Koverhar,NA,NA
DK_0DKKRA,Kragenæs,NA,NA
NO_0NOKRA,Kragerø,NA,NA
HR_0HRKRA,Kraljevica,NA,NA
DE_3DEKRE,Krefeld,NA,NA
NL_0NLKRP,Krimpen aan den Ijssel,NA,NA
NO_0NOKRS,Kristiansand S,58.14615,7.9957333
NO_0NOKSU,Kristiansund N/Grip,NA,NA
FI_0FIKRS,Kristinankaupunki,NA,NA
SE_2SEKHN,Kristinehamn,59.3113619,14.11176
HR_0HRKRK,Krk,NA,NA
PL_0PL012,Krynica Morska,NA,NA
PL_0PLKMR,Krynica Morska,NA,NA
SE_1SEKUB,Kubikenborg,NA,NA
EE_0EEKUI,Kuivastu,NA,NA
FI_0FIKUM,Kumlinge,NA,NA
EE_0EEKND,Kunda,25.758077999999998,81.57557198102174
SE_2SEKUN,Kungshamn,NA,NA
TR_2TRKUS,Kusadasi,NA,NA
NO_0NOKVM,Kvam,NA,NA
SE_1SEKVA,Kvarnholmen,NA,NA
NO_0NOKVD,Kvinesdal,58.51813075,6.9539610197038755
NO_0NOKVH,Kvinnherad,NA,NA
NO_0NOKVN,Kvænangen,NA,NA
EL_0GRKYL,Kylini,NA,NA
EL_0GRKYM,Kymasi,NA,NA
EL_0GRKIM,Kymi,NA,NA
DK_0DKKBY,Kyndbyværkets Havn,NA,NA
EL_0GRKYT,Kythnos,NA,NA
DK_0DKCPH,Københavns Havn,NA,NA
DK_0DKKOG,Køge,55.4565009,12.1818964
FR_2FRLCT,La Ciotat,NA,NA
ES_1ESLCG,La Coruña,43.3712091,-8.3958768
IT_0ITMDA,La Maddalena,NA,NA
FR_1FRLRH,La Rochelle,46.1591126,-1.1520434
IT_0ITSPE,La Spezia,44.107527250000004,9.79985421892292
DE_2DELAB,Laboe,NA,NA
EL_0GR862,Lagos,NA,NA
PT_0PTLAJ,"Lajes das Flores (Ilha das Flores, Açores)",NA,NA
EL_0GRLRS,Lakki Lerou,NA,NA
IT_0ITLMP,Lampedusa,NA,NA
UK_1GBLAN,Lancaster,NA,NA
FR_1FRLDN,Landerneau,NA,NA
SE_1SELAA,Landskrona,55.8698007,12.8296734
DE_1DELGO,Langeoog,53.7408705,7.485916907277579
FI_0FILAN,Langnäs,NA,NA
FR_1FRLAI,Lannion,NA,NA
NL_0NLLAN,Lanwersoog,NA,NA
FI_0FILAP,Lappohja,NA,NA
FR_3GFLVT,Larivot (Guyane),NA,NA
CY_0CYLCA,Larnaka,34.9236095,33.6236184
UK_1GBLAR,Larne,51.0406809,3.8599035400346695
NO_0NOLAR,Larvik,59.053173,10.027182
EL_0GRLRY,Larymna,38.5645411,23.285246
ES_2ESLPA,Las Palmas,28.128874,-15.4349448
HR_0HRLST,Lastovo,NA,NA
LV,Latvia,NA,NA
LV_0LV888,Latvia - other ports,NA,NA
DE_2DELAU,Lauterbach,NA,NA
EL_0GRLAV,Lavrio,44.1936977,8.2621388
FR_1FRLFR,Le Fret (Crozon),NA,NA
FR_1FRLGU,Le Guildo (Crehen),NA,NA
FR_1FRLEH,Le Havre,49.4938975,0.1079732
FR_1FRSBK,Le Legue (St Brieuc),NA,NA
FR_1FRLTR,Le Tréport,NA,NA
DE_1DELEE,Leer,53.2327625,7.4577265
NL_0NLLWR,Leeuwarden,NA,NA
EL_0GRLEV,Lefkada,NA,NA
EL_0GRLEF,Lefkadi,NA,NA
EL_0GRLFK,Lefkimmi,NA,NA
EL_0GRLIP,Leipsoi Dodekanisou,NA,NA
NO_0NOLEF,Leirfjord,NA,NA
PT_0PTLEI,Leixões,41.1864507,-8.6961588
NO_0NOLKA,Leka,NA,NA
CY_0CYLMS,Lemesos,34.6852901,33.0332657
DK_0DKLVG,Lemvig,NA,NA
EL_0GRLND,Leonidio,NA,NA
UK_1GBLER,Lerwick (Shetland Islands),NA,NA
FR_1FRLSO,Les Sables d'Olonne,NA,NA
IT_0ITLEV,Levanzo,NA,NA
FR_1FRLEZ,Lézardrieux,NA,NA
IT_0ITLIC,Licata,NA,NA
SE_2SELDK,Lidköping,58.5037196,13.1576427
BE_0BELGG,Liège,NA,NA
LV_0LVLPX,Liepaja,56.5048435,21.0070903
SE_2SELED,Lilla Edet,NA,NA
NO_0NOLIL,Lillesand,NA,NA
IE_0IELMK,Limerick,52.661252,-8.6301239
EL_0GRSKU,Linaria Skyrou,NA,NA
DE_3DELIG,Lingen,NA,NA
EL_0GRLIN,Linoperamata Irakleiou,NA,NA
IT_0ITLIU,Linosa,NA,NA
IT_0ITLIP,Lipari,NA,NA
PT_0PTLIS,Lisboa,38.7077507,-9.1365919
DE_1DELIS,List/Sylt,55.0177399,8.4359967
LT,Lithuania,NA,NA
UK_1GBLIT,Littlehampton,NA,NA
UK_1GBLIV,Liverpool,53.407154,-2.991665
IT_0ITLIV,Livorno,43.5507317,10.3091256
EL_0GRLIX,Lixouri,NA,NA
UK_1GBLDO,Llandudno,NA,NA
UK_1GBLLD,Llandulas,NA,NA
UK_1GB231,Loch Carnan,NA,NA
UK_1GBLRP,Loch Ryan Pt,NA,NA
UK_1GBLOL,Lochaline,NA,NA
NL_0NLLCH,Lochem,NA,NA
DK_0DKLOH,Lohals,NA,NA
DE_1DELOH,Lohesch,NA,NA
SE_1SELOM,Lomma,NA,NA
UK_1GBLON,London,51.5073219,-0.1276474
UK_1GBLDY,Londonderry,54.9978678,-7.3213056
NO_0NOLON,Lonevag,NA,NA
NO_0SJLYR,Longyearbyen,NA,NA
NO_0NOLOP,Loppa,NA,NA
FR_1FRLRT,Lorient,47.7477336,-3.3660907
EL_0GRLTR,Loutro Chanion,NA,NA
FI_0FILOV,Loviisa,NA,NA
UK_1GBLOW,Lowestoft,NA,NA
DE_2DELBC,Lübeck,53.866444,10.684738
DE_3DELBM,Lubmin,54.1318409,13.612798
SE_1SELUG,Lugnvik,NA,NA
SE_1SELLA,Luleå,65.5831187,22.1459535
DE_3DELLS,Lülsdorf,NA,NA
RO_0ROLUM,Luminita,NA,NA
DE_3DELUE,Lünen,NA,NA
NO_0NOLUS,Luster,NA,NA
FI_0FILUV,Luvia,NA,NA
NO_0NOLND,Lyngdal,NA,NA
NO_0NOLYN,Lyngen,NA,NA
DK_0DKLYO,Lyngs Odde Havn,NA,NA
SE_2SELYS,Lysekil,58.3965726,11.4196339
FR_2FRILR,L´Île Rousse,NA,NA
NO_0NOLOD,Lødingen,NA,NA
DK_0DKLGR,Løgstør,NA,NA
NL_0NLMSS,Maarssen,NA,NA
NL_0NLMSB,Maasbracht,NA,NA
NL_0NLMSL,Maassluis,NA,NA
NL_0NLMST,Maastricht,NA,NA
UK_1GBMCD,Macduff,NA,NA
PT_0PTMAD,"Madalena (Ilha do Pico, Açores)",NA,NA
DE_3DEMAG,Magdeburg,NA,NA
UK_1GBMGO,Magheramorne,NA,NA
HR_0HRMAK,Makarska,NA,NA
ES_2ESAGP,Málaga,36.7213028,-4.4216366
UK_1GBMAL,Maldon,NA,NA
HR_0HRLSZ,Mali Losinj,NA,NA
HR_0HRMAL,Malinska,NA,NA
SE_1SEMMA,Malmö,55.6052931,13.0001566
MT,Malta,NA,NA
NO_0NOMAY,Måløy,40.6744348,-94.4121811
UK_1GBMNC,Manchester,53.4794892,-2.2451148
NO_0NOMAN,Mandal,NA,NA
IT_0ITMFR,Manfredonia,NA,NA
RO_0ROMAG,Mangalia,NA,NA
DK_0DKMRB,Marbæk Havn,NA,NA
IT_0ITMMO,Marettimo,NA,NA
FI_0FIMHQ,Mariehamn,NA,NA
SE_2SEMAD,Mariestad,NA,NA
ES_1ESMPG,Marín-Pontevedra,NA,NA
IT_0ITMDC,Marina di Carrara,44.0376696,10.0455044
TR_2TRMRA,Marmara Adasi,NA,NA
EL_0GRMRM,Marmari,NA,NA
TR_2TRMRM,Marmaris,NA,NA
IT_0ITMRA,Marsala,NA,NA
MT_0MTMAR,Marsaxlokk,35.8417662,14.5448353
FR_2FRMRS,Marseille,43.2961743,5.3699525
DK_0DKMRS,Marstal,NA,NA
HR_0HRMAS,Maslenica,NA,NA
DK_0DKUNX,Masnedø Godningshavn (Uno-X Havn),NA,NA
DK_0DKMAS,Masnedøværkets Havn,NA,NA
NO_0NOMSY,Måsøy,NA,NA
EL_0GRMTR,"Mathraki, Diapontia nisia",NA,NA
IT_0ITMAZ,Mazara del Vallo,NA,NA
RO_0ROMED,Medgidia,NA,NA
UK_1GBMED,Medway,42.1417641,-71.3967256
NL_0NLMEW,Meerlo-Wansum,NA,NA
EL_0GRMGN,Meganisi,NA,NA
EL_0GRMGR,Megara,37.9952543,23.3417858
EL_0GRKAS,Megisti Kastelorizou,NA,NA
ES_4ESMLN,Melilla,35.292906,-2.9507198551536247
NO_0NOMEY,Meløy/Glomfjord/Ørnes,NA,NA
EL_0GRMEN,Menidi Aitoloakarnanias,NA,NA
NL_0NLMEP,Meppel,NA,NA
DE_3DEMEP,Meppen,NA,NA
FI_0FIMER,Merikarvia,NA,NA
TR_2TRMER,Mersin,NA,NA
LV_0LVMRX,Mersrags,NA,NA
IT_0ITMSN,Messina,38.1937571,15.5542082
EL_0GRMES,Messogaia,NA,NA
EL_0GRMEL,Messolongi,NA,NA
EL_0GRMHI,Mesta Chiou,NA,NA
EL_0GRMET,Methana,NA,NA
HR_0HRMET,Metkovic,NA,NA
MT_0MTMGZ,"Mgarr, Gozo",NA,NA
NL_0NLMID,Middelburg,NA,NA
DK_0DKMID,Middelfart,NA,NA
NL_0NLMIH,Middelharnis,NA,NA
RO_0ROMID,Midia,36.265344,2.766957
PL_0PLMID,Miedzyzdroje,NA,NA
EE_0EEMDR,Miiduranna,NA,NA
IT_0ITMLZ,Milazzo,38.2208049,15.2415129
UK_1GBMLF,Milford Haven,51.7117492,-5.0293161
HR_0HRMIL,Milna,NA,NA
DE_3DEMID,Minden,NA,NA
UK_1GBMIS,Mistley,NA,NA
NO_0NOMQN,Mo i Rana,66.3110969,14.1386991
NO_0NOMOD,Modalen,NA,NA
NL_0NLMOE,Moerdijk,51.66277225,4.525592262905145
NO_0NOMOL,Molde,62.7378836,7.1589568
IT_0ITMOL,Molfetta,NA,NA
EL_0GRMOL,Molyvos Lesvou,NA,NA
DK_0DKMOM,Mommark,NA,NA
EL_0GRMON,Monemvasia,NA,NA
IT_0ITMNF,Monfalcone,45.8049454,13.5330592
CY_0CYMOI,Moni,NA,NA
IT_0ITMNP,Monopoli,NA,NA
ME,Montenegro,NA,NA
UK_1GBMON,Montrose,NA,NA
SE_1SEMOR,Mörbylånga,NA,NA
FR_1FRMXN,Morlaix,NA,NA
ES_2ESMJB,Morro Jable,28.0501834,-14.3522311
FR_1FRMSG,Mortagne-sur-Gironde,NA,NA
HR_0HRMOD,Moscenicka Draga,NA,NA
NO_0NOMJF,Mosjøen,65.8376537,13.1943186
NO_0NOMSK,Moskenes,NA,NA
NO_0NOMSS,Moss,59.414667449999996,10.659657776223916
UK_1GBCHE,Mostyn,NA,NA
ES_2ESMOT,Motril,36.7450888,-3.5207655
EL_0GRMDR,Moudros Limnou,NA,NA
TR_2TRMUD,"Mudanya, Bursa",NA,NA
DE_3DEMUH,Mülheim an der Ruhr,NA,NA
HR_0HRMUR,Murter,NA,NA
EL_0GRJMK,Mykonos,NA,NA
EL_0GRMYR,Myrina,NA,NA
EL_0GRMJT,Mytilini,NA,NA
FI_0FINLI,Naantali,60.4688687,22.0291149
EL_0GRNAF,Nafplio,NA,NA
DK_0DKNAK,Nakskov,NA,NA
NO_0NOOSY,Namsos,NA,NA
FR_1FRNTE,Nantes Saint-Nazaire,NA,NA
IT_0ITNAP,Napoli,40.8359336,14.2487826
NO_0NONVK,Narvik,68.28988385,17.086538711321808
FI_0FINAU,Nauvo,NA,NA
EL_0GRJNX,Naxos,NA,NA
EL_0GRNMA,Nea Moudania Chalkidikis,NA,NA
EL_0GR795,Nea Psara Chiou,NA,NA
EL_0GRNST,Nea Styra,NA,NA
EL_0GRNEA,Neapoli Lakonias,NA,NA
UK_1GBNEA,Neath,NA,NA
DK_0DKNEX,Neksø,NA,NA
IS_0ISNES,Neskaupstaður,NA,NA
NO_0NONSN,Nesna,NA,NA
DE_1DENES,Nessmersiel,53.6712,7.35605
NL,Netherlands,NA,NA
NL_0NL888,Netherlands - other ports,NA,NA
DE_1DENHS,Neuharlingersiel,53.6992698,7.7035695
DE_3DENSS,Neuss,NA,NA
DE_2DENHO,Neustadt/Holstein,54.1029898,10.8186738
IE_0IENRS,New Ross,NA,NA
UK_1GBNHV,Newhaven,50.7945315,0.0483875
UK_1GBNPO,Newport (Isle of Wight),NA,NA
UK_1GBNPT,"Newport, Gwent",NA,NA
FR_2FRNCE,Nice,NA,NA
NL_0NLNLK,Nieuw-Lekkerland,NA,NA
BE_0BENIE,Nieuwpoort,NA,NA
NL_0NLNIJ,Nijmegen,NA,NA
EL_0GRNIS,Nissyros,NA,NA
SE_2SENOL,Nol (ports),NA,NA
DK_0DKNDB,"Nordby Havn, Fanø",NA,NA
DE_1DENOE,Norddeich,54.2176341,8.9001752
DE_1DENHA,Nordenham,53.4973636,8.4820227
DE_1DENRD,Norderney,53.7122885,7.235779477300251
NO_0NOEID,Nordfjordeid/Eid,NA,NA
DK_0DKVSV,Nordjyllandsværkets Havn,NA,NA
SE_1SENOG,Nordmaling,NA,NA
DE_1DENOR,Nordstrand,54.4873775,8.8652863
SE_1SENRK,Norrköping,58.5909124,16.1903511
SE_1SENOT,Norrsundet,NA,NA
SE_1SENOE,Norrtälje,NA,NA
NO,Norway,NA,NA
NO_0NO888,Norway - other ports,NA,NA
NO_0NO88N,Norway - other ports - northern,NA,NA
NO_0NO88S,Norway - other ports - southern,NA,NA
IS_0ISNOU,Norðurfjörður,NA,NA
HR_0HRNVL,Novalja,NA,NA
HR_0HRNVD,Novi Vinodolski,NA,NA
HR_0HRNVG,Novigrad,NA,NA
PL_0PLNWA,Nowe Warpno,NA,NA
DK_0DKNBG,Nyborg,NA,NA
EL_0GRNID,Nydri,NA,NA
DK_0DKNYF,Nykøbing Falster,NA,NA
DK_0DKNYM,Nykøbing Mors,NA,NA
SE_1SENYN,Nynäshamn (ports),NA,NA
DK_0DKNUD,Næssund,NA,NA
DK_0DKNVD,Næstved,NA,NA
DK_0DKNRS,Nørresundby,NA,NA
UK_1GBOBA,Oban,NA,NA
NO_0NOODD,Odda,NA,NA
DK_0DKODE,Odense,55.3997225,10.3852104
EL_0GRINO,Oinousses,NA,NA
NO_0NOOKF,Oksfjord,NA,NA
IS_0ISOLF,Ólafsfjörður,NA,NA
IS_0ISOLV,Ólafsvík,NA,NA
IT_0ITOLB,Olbia,40.9232659,9.5027442
DE_1DEOLO,Oldenburg,53.1389753,8.2146017
NO_0NOOLL,Olderdalen,NA,NA
HR_0HROMS,Omis,NA,NA
HR_0HROMI,Omisalj,45.2120215,14.5575259
DK_0DKOMO,Omø,NA,NA
IT_0ITONE,Oneglia,NA,NA
BE_0BEOST,Oostende (Ostend),NA,NA
NL_0NLOOS,Oosterhout,NA,NA
HR_0HROPA,Opatija,NA,NA
TR_1TRORD,Ordu,NA,NA
DK_0DKORE,"Orehoved, Falster",NA,NA
EL_0GRORE,Oreoi,NA,NA
IT_0ITQOS,Oristano,39.9059497,8.5916112
NO_0NOORK,Orkanger,NA,NA
SE_1SEOER,Örnsköldsvik,63.2888613,18.7160209
EL_0GRORO,Oropos,NA,NA
DE_3DEORS,Orsoy,NA,NA
DE_2DEORT,Orth/Fehmarn,NA,NA
IT_0ITOTN,Ortona,42.349643,14.403913
DK_0DKORO,Orø,NA,NA
NO_0NOOSN,Osen,NA,NA
SE_1SEOSK,Oskarshamn,57.2632811,16.4443478
NO_0NOOSL,Oslo,59.9133301,10.7389701
NL_0NLOSS,Oss,NA,NA
NO_0NOOST,Osterøy,NA,NA
SE_1SEOST,Östrand,NA,NA
EL_0GROTH,Othonoi,NA,NA
IT_0ITOTO,Otranto,NA,NA
SE_2SEOTT,Otterbäcken,58.9437903,14.0393895
NL_0NLOUG,Oud en Nieuw Gastel,NA,NA
NL_0NLOAI,Ouderkerk,NA,NA
FI_0FIOUL,Oulu,65.0118734,25.4716809
EL_0GROUR,Ouranoupoli Chalkidikis,NA,NA
SE_1SEOXE,Oxelösund (ports),NA,NA
UK_1GBPAD,Padstow,NA,NA
HR_0HRPAG,Pag,NA,NA
FR_1FRPAI,Paimpol,NA,NA
EL_0GRPAA,Palaia Psara Chiou,NA,NA
EL_0GRPSF,Palaiochora Sfakion,NA,NA
ES_2ESPAL,Palamós,41.8495354,3.1278785
IT_0ITPAU,Palau,NA,NA
EE_0EEPLN,Paldiski Põhjasadam,NA,NA
IT_0ITPMO,Palermo,38.1112268,13.3524434
ES_2ESPMI,Palma Mallorca,NA,NA
EL_0GRPAO,Paloukia Salaminas,NA,NA
IT_0ITPAN,Panarea,NA,NA
IT_0ITPNL,Pantelleria,NA,NA
DE_1DEPAP,Papenburg,53.0822606,7.3928398
NL_0NLPAP,Papendrecht,NA,NA
UK_1GBPAR,Par,NA,NA
FI_0FIPAR,Parainen,60.3054487,22.2996452
EL_0GRPAR,Parga,NA,NA
EE_0EEPRN,Pärnu,58.3835136,24.5081751
EL_0GRPAS,Paros,NA,NA
ES_1ESPAS,Pasajes,43.3239952,-1.9200587
EE_0EEPAR,Patareisadam,NA,NA
EL_0GRPMS,Patmos,NA,NA
EL_0GRGPA,Patra,38.246242,21.7350847
IS_0ISPAT,Patreksfjörður,NA,NA
EL_0GRPAX,Paxoi,NA,NA
TR_1TRPZR,Pazar,NA,NA
DE_3DEPEI,Peine,NA,NA
EL_0GRPIR,Peiraias,37.9431594,23.6470593
DE_1DEPEL,Pellworm,54.523297850000006,8.640880085168842
UK_1GBPEN,Penzance,NA,NA
EL_0GRPER,Perama,39.6932343,20.8466667
EL_0GRPGM,Perama Geras Mytilinis,NA,NA
FI_0FIPER,Pernaja,NA,NA
UK_1GBPER,Perth,NA,NA
IT_0ITPES,Pesaro,NA,NA
IT_0ITPSR,Pescara,NA,NA
