ident,city,lat,long
EL_0GRAPL,Amaliapolis Magnisias,NA,NA
TR_1TRAMA,Amasra,NA,NA
TR_2TRAMB,Ambarli,NA,NA
NL_0NLAML,Ameland,NA,NA
EL_0GRAMF,Amfilochia,NA,NA
EL_0GRAMI,Ammouliani,NA,NA
EL_0GRAMO,Amorgos (Katapola),NA,NA
DE_1DEIAM,Amrum,54.6601796,8.328274983040426
NL_0NLAMS,Amsterdam,52.3727598,4.8936041
EL_0GRANA,"Anafi, Kyklades",NA,NA
TR_2TRANA,Anamur,NA,NA
IT_0ITAOI,Ancona,43.6170137,13.5170982
DE_3DEAND,Andernach,NA,NA
EL_0GRAND,Andros,NA,NA
NO_0NOADY,Andøy,NA,NA
PT_0PTADH,"Angra do Heroísmo (Ilha Terceira, Açores)",NA,NA
DK_0DKANH,Anholt,NA,NA
DE_2DEANK,Anklam,NA,NA
TR_2TRAYT,Antalya,NA,NA
EL_0GRATK,Antikyra,38.3777739,22.6320058
EL_0GRANP,Antiparos,NA,NA
EL_0GRANT,Antirrio,38.331031,21.7629194
BE_0BEANR,Antwerpen,51.2211097,4.3997081
IT_0ITANZ,Anzio,NA,NA
UK_1GBAPP,Appledore,NA,NA
EL_0GRARX,Araxos,NA,NA
IT_0ITATX,Arbatax,NA,NA
NO_0NOAAN,Årdal,NA,NA
UK_1GBASG,Ardrishaig,NA,NA
NO_0NOARE,Arendal,NA,NA
EL_0GRARM,Argostoli,NA,NA
DK_0DKAAR,Århus,56.1496278,10.2134046
EL_0GRARD,Arkioi Dodekanisou,NA,NA
EL_0GRARK,Arkitsa Fthiotidas,NA,NA
IE_0IEARK,Arklow,NA,NA
IS_0ISASS,Árskógssandur,NA,NA
DK_0DKARO,Årø,NA,NA
DK_0DKARD,Årøsund,NA,NA
NO_0NOASL,Askvoll,NA,NA
DK_0DKASK,Askø,NA,NA
DK_0DKAIT,Asnæs Inter Terminal,NA,NA
DK_0DKASV,Asnæsværkets Havn,NA,NA
EL_0GRASS,Aspropyrgos,38.0586212,23.5892278
DK_0DKASN,Assens,NA,NA
EL_0GRAST,Astakos,NA,NA
EL_0GRARS,Astros Arkadias,NA,NA
EL_0GRJTY,Astypalaia,NA,NA
IT_0ITAUG,Augusta,33.4709714,-81.9748429
DK_0DKAUB,Augustenborg,NA,NA
NO_0NOAUL,Aurland,NA,NA
NO_0NOASV,Austevoll,NA,NA
DK_0DKAVE,Avedøreværkets Havn,NA,NA
PT_0PTAVE,Aveiro,40.640496,-8.6537841
DK_0DKAVK,Avernakø/Lyø,NA,NA
ES_1ESAVS,Avilés,43.5554436,-5.9222466
UK_1GBAYR,Ayr,NA,NA
TR_2TRAYV,Ayvalik,NA,NA
DK_0DKBAG,Bagenkop,NA,NA
IT_0ITBLN,Bagnoli,NA,NA
DK_0DKBGO,Bågø,NA,NA
IT_0ITBAI,Baia,NA,NA
HR_0HRBAK,Bakar,45.3071461,14.5342673
IS_0ISBAK,Bakkafjörður,NA,NA
NO_0NOBLL,Ballangen,NA,NA
DK_0DKBLB,Ballebro,NA,NA
SE_1SEBLV,Bällstaviken,NA,NA
UK_1GBBLR,Ballylumford,NA,NA
SE_1SEBAA,Bålsta,NA,NA
DE_1DEBMR,Baltrum,53.7283495,7.399479964095553
DK_0DKBDX,Bandholm (Maribo),NA,NA
TR_2TRBDM,Bandirma,NA,NA
IE_0IEBYT,Bantry Bay,-33.9281512,18.3789695
ME_0MEBAR,Bar,48.4088704,7.4492808
ES_2ESBBE,Barbate,NA,NA
ES_2ESBCN,Barcelona,41.3828939,2.1774322
IT_0ITBRI,Bari,41.1257843,16.8620293
IT_0ITBLT,Barletta,41.3214976,16.2868696
UK_1GBBND,Barnstaple,NA,NA
UK_1GBCBA,Barra Castlebay,NA,NA
UK_1GBBIF,Barrow-In-Furness,NA,NA
UK_1GBBAD,Barry,NA,NA
DK_0DKBAR,Barso,NA,NA
DK_0DKBSL,Barso Landing,NA,NA
TR_1TRBTN,Bartin,NA,NA
RO_0ROBAB,Basarabi,NA,NA
HR_0HRBAS,Baska,NA,NA
FR_2FRBIA,Bastia,42.7065505,9.452542
NO_0NOBJF,Båtsfjord,NA,NA
FR_1FRBAY,Bayonne,43.4933379,-1.475099
NO_0NOBEJ,Beiarn,NA,NA
DE_1DEBEI,Beidenfleth,NA,NA
UK_1GBBEL,Belfast,54.5964411,-5.9302761
BE,Belgium,NA,NA
BE_0BE002,Belgium - other inland ports (other than Zeekanaal Brussel-Schelde ports),NA,NA
BE_0BE888,Belgium - other ports,NA,NA
DE_3DEBDF,Bendorf/Rhein,NA,NA
DE_1DEBEN,Bensersiel,NA,NA
NL_0NLBGB,Bergambacht,NA,NA
NO_0NOBGO,Bergen,60.3943055,5.3259192
NL_0NLBZM,Bergen op Zoom,NA,NA
SE_1SEBEA,Bergkvara,NA,NA
NO_0NOBGN,Bergneset,NA,NA
SE_1SEBER,Bergs Oljehamn,NA,NA
NO_0NOBVG,Berlevåg,NA,NA
DE_3DEBER,Berlin,NA,NA
ES_1ESBRM,Bermeo,43.4194242,-2.7231562
DE_2DEBOF,Berndshof,53.7335668,14.0964302
UK_1GBBWK,Berwick-On-Tweed,NA,NA
NL_0NLBEV,Beverwijk,NA,NA
UK_1GBBID,Bideford,NA,NA
ES_1ESBIO,Bilbao,43.2630018,-2.9350039
IS_0ISBIL,Bíldudalur,NA,NA
HR_0HRBNM,Biograd na Moru,NA,NA
NO_0NOBJU,Bjugn/Lysøysund/Botngård,NA,NA
IS_0ISBLO,Blönduós,NA,NA
UK_1GBBLY,Blyth,NA,NA
TR_2TRBXN,Bodrum,NA,NA
NO_0NOBOO,Bodø,67.2839476,14.3825834
NO_0NOOYB,Bogoy,NA,NA
DK_0DKBOG,Bogø,NA,NA
SE_2SEBOH,Bohus,NA,NA
HR_0HRBOL,Bol,NA,NA
SE_1SEBOL,Bollstabruk,NA,NA
IS_0ISBOL,Bolungarvík,NA,NA
FR_2FRBON,Bonifacio,NA,NA
FR_1FRBOD,Bordeaux,44.841225,-0.5800364
NO_0NOBRG,Borg,NA,NA
IS_0ISBGJ,Borgafjörður eystri,NA,NA
DE_1DEBMK,Borkum,53.585916850000004,6.691478815225876
NO_0NOBRR,Borre,NA,NA
NL_0NLBOR,Borsele,NA,NA
UK_1GBBOS,Boston,42.3602534,-71.0582912
