year,origin,dest,sitc4,export_val,import_val
1975,usa,deu,3222,0.00,5528000.00
1975,usa,fdr,3222,0.00,5528000.00
1975,usa,pol,3222,0.00,3901000.00
1975,usa,can,3222,0.00,6047000.00
1975,usa,aus,3222,0.00,2289000.00
1975,usa,wld,3222,0.00,24527000.00
1975,aus,usa,3222,2289000.00,0.00
1975,aus,wld,3222,2289000.00,0.00
1975,wld,zaf,3222,0.00,6762000.00
1975,wld,deu,3222,0.00,5528000.00
1975,wld,fdr,3222,0.00,5528000.00
1975,wld,pol,3222,0.00,3901000.00
1975,wld,can,3222,0.00,6047000.00
1975,wld,usa,3222,24527000.00,0.00
1975,wld,aus,3222,0.00,2289000.00
1975,wld,wld,3222,24527000.00,24527000.00
1976,zaf,usa,3222,16747000.00,0.00
1976,zaf,wld,3222,16747000.00,0.00
1976,jor,sau,3222,7000.00,0.00
1976,jor,wld,3222,7000.00,0.00
1976,kwt,sau,3222,5000.00,0.00
1976,kwt,wld,3222,5000.00,0.00
1976,lbn,sau,3222,7000.00,0.00
1976,lbn,wld,3222,7000.00,0.00
1976,sau,jor,3222,0.00,7000.00
1976,sau,kwt,3222,0.00,5000.00
1976,sau,lbn,3222,0.00,7000.00
1976,sau,syr,3222,0.00,44000.00
1976,sau,bel,3222,0.00,30000.00
1976,sau,nld,3222,0.00,1000.00
1976,sau,usa,3222,0.00,51000.00
1976,sau,aus,3222,0.00,4000.00
1976,sau,wld,3222,0.00,149000.00
1976,syr,sau,3222,44000.00,0.00
1976,syr,wld,3222,44000.00,0.00
1976,bel,sau,3222,30000.00,0.00
1976,bel,wld,3222,30000.00,0.00
1976,nld,sau,3222,1000.00,0.00
1976,nld,wld,3222,1000.00,0.00
1976,pol,usa,3222,3510000.00,0.00
1976,pol,wld,3222,3510000.00,0.00
1976,can,usa,3222,803000.00,0.00
1976,can,wld,3222,803000.00,0.00
1976,usa,zaf,3222,0.00,16747000.00
1976,usa,sau,3222,51000.00,0.00
1976,usa,pol,3222,0.00,3510000.00
1976,usa,can,3222,0.00,803000.00
1976,usa,wld,3222,51000.00,21060000.00
1976,aus,sau,3222,4000.00,0.00
1976,aus,wld,3222,4000.00,0.00
1976,wld,zaf,3222,0.00,16747000.00
1976,wld,jor,3222,0.00,7000.00
1976,wld,kwt,3222,0.00,5000.00
1976,wld,lbn,3222,0.00,7000.00
1976,wld,sau,3222,149000.00,0.00
1976,wld,syr,3222,0.00,44000.00
1976,wld,bel,3222,0.00,30000.00
1976,wld,nld,3222,0.00,1000.00
1976,wld,pol,3222,0.00,3510000.00
1976,wld,can,3222,0.00,803000.00
1976,wld,usa,3222,21060000.00,51000.00
1976,wld,aus,3222,0.00,4000.00
1976,wld,wld,3222,21209000.00,21209000.00
1977,zaf,usa,3222,20155000.00,0.00
1977,zaf,wld,3222,20155000.00,0.00
1977,deu,usa,3222,1338000.00,0.00
1977,deu,wld,3222,1338000.00,0.00
1977,fdr,usa,3222,1338000.00,0.00
1977,fdr,wld,3222,1338000.00,0.00
1977,pol,usa,3222,6237000.00,0.00
1977,pol,wld,3222,6237000.00,0.00
1977,can,usa,3222,393000.00,0.00
1977,can,wld,3222,393000.00,0.00
1977,usa,zaf,3222,0.00,20155000.00
1977,usa,deu,3222,0.00,1338000.00
1977,usa,fdr,3222,0.00,1338000.00
1977,usa,pol,3222,0.00,6237000.00
1977,usa,can,3222,0.00,393000.00
1977,usa,aus,3222,0.00,3631000.00
1977,usa,wld,3222,0.00,31754000.00
1977,aus,usa,3222,3631000.00,0.00
1977,aus,wld,3222,3631000.00,0.00
1977,wld,zaf,3222,0.00,20155000.00
1977,wld,deu,3222,0.00,1338000.00
1977,wld,fdr,3222,0.00,1338000.00
1977,wld,pol,3222,0.00,6237000.00
1977,wld,can,3222,0.00,393000.00
1977,wld,usa,3222,31754000.00,0.00
1977,wld,aus,3222,0.00,3631000.00
1977,wld,wld,3222,31754000.00,31754000.00
1978,zaf,usa,3222,26798000.00,0.00
1978,zaf,wld,3222,26798000.00,0.00
1978,twn,usa,3222,0.00,15272000.00
1978,twn,wld,3222,0.00,15272000.00
1978,alb,usa,3222,0.00,3953000.00
1978,alb,wld,3222,0.00,3953000.00
1978,pol,usa,3222,2779000.00,0.00
1978,pol,wld,3222,2779000.00,0.00
1978,rou,usa,3222,0.00,32393000.00
1978,rou,wld,3222,0.00,32393000.00
1978,can,usa,3222,197000.00,0.00
1978,can,wld,3222,197000.00,0.00
1978,mex,usa,3222,0.00,16826000.00
1978,mex,wld,3222,0.00,16826000.00
1978,usa,zaf,3222,0.00,26798000.00
1978,usa,twn,3222,15272000.00,0.00
1978,usa,alb,3222,3953000.00,0.00
1978,usa,pol,3222,0.00,2779000.00
1978,usa,rou,3222,32393000.00,0.00
1978,usa,can,3222,0.00,197000.00
1978,usa,mex,3222,16826000.00,0.00
1978,usa,aus,3222,0.00,30083000.00
1978,usa,chl,3222,9277000.00,0.00
1978,usa,per,3222,1949000.00,0.00
1978,usa,ven,3222,937000.00,0.00
1978,usa,wld,3222,80607000.00,59857000.00
1978,aus,usa,3222,30083000.00,0.00
1978,aus,wld,3222,30083000.00,0.00
1978,chl,usa,3222,0.00,9277000.00
1978,chl,wld,3222,0.00,9277000.00
1978,per,usa,3222,0.00,1949000.00
1978,per,wld,3222,0.00,1949000.00
1978,ven,usa,3222,0.00,937000.00
1978,ven,wld,3222,0.00,937000.00
1978,wld,zaf,3222,0.00,26798000.00
1978,wld,twn,3222,15272000.00,0.00
1978,wld,alb,3222,3953000.00,0.00
1978,wld,pol,3222,0.00,2779000.00
1978,wld,rou,3222,32393000.00,0.00
1978,wld,can,3222,0.00,197000.00
1978,wld,mex,3222,16826000.00,0.00
1978,wld,usa,3222,59857000.00,80607000.00
1978,wld,aus,3222,0.00,30083000.00
1978,wld,chl,3222,9277000.00,0.00
1978,wld,per,3222,1949000.00,0.00
1978,wld,ven,3222,937000.00,0.00
1978,wld,wld,3222,140464000.00,140464000.00
1979,zaf,usa,3222,33920000.00,0.00
1979,zaf,wld,3222,33920000.00,0.00
1979,twn,usa,3222,0.00,17737000.00
1979,twn,wld,3222,0.00,17737000.00
1979,alb,usa,3222,0.00,9459000.00
1979,alb,wld,3222,0.00,9459000.00
1979,ddr,usa,3222,0.00,6124000.00
1979,ddr,wld,3222,0.00,6124000.00
1979,deu,usa,3222,0.00,6124000.00
1979,deu,wld,3222,0.00,6124000.00
1979,pol,usa,3222,4548000.00,0.00
1979,pol,wld,3222,4548000.00,0.00
1979,rou,usa,3222,0.00,29061000.00
