port,country,region,location,traffic,link,lat,lon
Port of Gioia Tauro,Italy,Europe,Mediterranean Sea,4005,https://en.wikipedia.org//wiki/Port_of_Gioia_Tauro,38.433,15.9
Rizhao,China,East Asia,Yellow Sea,4000,https://en.wikipedia.org//wiki/Rizhao,35.416999999999994,119.527
Colón,Panama,Central America,Caribbean coast,3890,"https://en.wikipedia.org//wiki/Col%C3%B3n,_Panama",9.35722,-79.89861
Tanjung Perak,Indonesia,Southeast Asia,Madura Strait,3866,https://en.wikipedia.org//wiki/Port_of_Tanjung_Perak,-7.1983299999999995,112.72277999999999
Felixstowe,United Kingdom,Europe,North Sea,3850,https://en.wikipedia.org//wiki/Port_of_Felixstowe,51.9529,1.3094999999999999
Seattle/Tacoma,United States,North America,West Coast,3800,https://en.wikipedia.org//wiki/Port_of_Seattle,47.44889,-122.30944
Dongguan,China,East Asia,Pearl River Delta,3500,https://en.wikipedia.org//wiki/Dongguan,23.021,113.752
Tanger-Med,Morocco,Africa,North Africa,3470,https://en.wikipedia.org//wiki/Tanger-Med,35.874979999999994,-5.520709999999999
Barcelona,Spain,Europe,Western Mediterranean,3420,https://en.wikipedia.org//wiki/Port_of_Barcelona,41.3375,2.15222
Vancouver,Canada,North America,West Coast,3400,https://en.wikipedia.org//wiki/Vancouver_Fraser_Port_Authority,49.27694,-123.12082999999998
Salalah,Oman,West Asia,Arabian Sea,3390,https://en.wikipedia.org//wiki/Port_of_Salalah,16.948059999999998,54.00889
Fuzhou,China,East Asia,Taiwan Strait,3340,https://en.wikipedia.org//wiki/Port_of_Fuzhou,26.0743,119.2964
