x,y
2.3539367,48.8721968
2.3508326,48.8706615
2.305068,48.8268768
2.3011079,48.8396496
2.3029483,48.8421585
2.3041613,48.8405964
2.292016,48.8769705
2.3159343,48.8559899
2.3183101,48.8554206
2.3262432,48.8528462
2.3268827,48.85211
2.3356791,48.8528896
2.3433804,48.8514207
2.3480461,48.8522486
2.3335411,48.8513265
2.3279183,48.8516764
2.3209398,48.8486899
2.3181308,48.8474544
2.3051384,48.8433635
2.3775114,48.8464198
2.3816924,48.8444155
2.3171693,48.8469709
2.3475208,48.850407
2.3494237,48.8499365
2.3254696,48.8508803
2.3302639,48.852227
2.3137238,48.8469113
2.312159,48.8455306
2.3102008,48.8455138
2.3181339,48.8444526
2.3104432,48.8435094
2.3236611,48.8459721
2.3295614,48.8479947
2.3426974,48.8484226
2.3387959,48.8517684
2.3326789,48.8507495
2.3025411,48.8475761
2.3097025,48.856067
2.3002085,48.8432132
2.2994603,48.8417476
2.2969274,48.84106
2.28963,48.8385197
2.2736753,48.8286533
2.2964697,48.8373276
2.3014345,48.8395472
2.3094998,48.8395778
2.3069487,48.8430566
2.3535894,48.8550692
2.3534398,48.856892
2.3082755,48.8441911
2.3160099,48.8473525
2.315632,48.8437882
2.2826834,48.8391053
2.3117341,48.8532392
2.3650738,48.8475203
2.3678319,48.8480731
2.3105482,48.8537482
2.3074986,48.8510323
2.3238906,48.853661
2.3482448,48.8500734
2.3102105,48.8578429
2.3229386,48.8585003
2.3455225,48.8506289
2.3364353,48.8330905
2.3103122,48.836146
2.3067894,48.8364203
2.3058911,48.8374026
2.3284734,48.8485711
2.3304239,48.8506968
2.3671559,48.8463195
2.3624841,48.851333
2.3574562,48.8535846
2.3735396,48.8452225
2.3735681,48.8447941
2.3216809,48.8569567
2.320615,48.8558794
2.3306133,48.8543421
2.3288914,48.8510369
2.3270079,48.8500011
2.3233449,48.847783
2.3188063,48.8454622
2.3183152,48.8597204
2.3135075,48.8476453
2.3175242,48.8500676
2.3252172,48.851777
2.3209065,48.8427912
2.3200259,48.8441669
2.3485348,48.8383937
2.3515226,48.8403736
2.3061597,48.8398105
2.2963604,48.8544507
2.2933335,48.8307336
2.3284896,48.8451704
2.257822,48.8381563
2.2950841,48.846001
2.3288972,48.8523285
2.3979845,48.8725105
2.3340925,48.8297742
2.3369416,48.8317381
2.3254247,48.8488951
2.3228171,48.8386496
2.3672842,48.8346693
2.3445213,48.8331651
2.4025142,48.8566023
2.3456564,48.8303058
2.3334679,48.8534242
2.2834717,48.873137
2.3688118,48.849999
2.375358,48.8785775
2.2623788,48.8557127
2.2624339,48.8526536
2.2610951,48.8514697
2.259399,48.8487159
2.2597675,48.8500861
2.2959457,48.8752764
2.2934897,48.8745801
2.2773459,48.8683584
2.274026,48.8604104
2.2740131,48.8580931
2.2992163,48.877342
2.2985481,48.8778327
2.2969893,48.8791389
2.3027346,48.8830452
2.303148,48.885092
2.2760901,48.8629128
2.2902376,48.8422582
2.2894169,48.8757467
2.2867783,48.8766598
2.2846583,48.8773156
2.2868646,48.8759061
2.2890421,48.8754191
2.3403438,48.8798813
2.3397918,48.8821984
2.2957829,48.8403181
2.3020168,48.8787834
2.303713,48.8793711
2.308897,48.8806821
2.3120004,48.8809461
2.3118159,48.8825195
2.2734952,48.8624298
2.3069855,48.8832589
2.304702,48.8840083
2.3089682,48.8830046
2.3075922,48.885274
2.3153721,48.881353
2.2712387,48.8533654
2.2699689,48.8551999
2.2966421,48.8852177
2.2966402,48.8856825
2.2906397,48.8856267
2.2996358,48.8878794
2.3009488,48.8869565
2.3008658,48.8887365
2.3050937,48.8908207
2.3044835,48.8869664
2.2762212,48.8567077
2.2754437,48.8541107
2.2780775,48.8513172
2.2680823,48.8524943
2.2712212,48.8489205
2.2669962,48.8493056
2.320834,48.8823672
2.3179094,48.8829037
2.3176233,48.8840297
2.3160641,48.8853787
2.3135386,48.8872976
2.3101949,48.8861082
2.3102585,48.8882019
2.3185716,48.8865358
2.3185279,48.8894025
2.3210599,48.8881835
2.2694123,48.8557091
2.2722254,48.8553485
2.2705354,48.8622843
2.2693663,48.8637349
2.26561,48.8549919
2.2589881,48.8454411
2.2603283,48.8478297
2.2615454,48.8393042
2.2580076,48.8380015
2.2718332,48.8665986
2.2673164,48.8474299
2.266777,48.841482
2.2650451,48.840574
2.2648836,48.8392342
2.2614536,48.8368211
2.2848368,48.8587296
2.2589751,48.837187
2.3034409,48.8387954
2.2932783,48.8684212
2.3016431,48.8609633
2.298845,48.8604607
2.2822937,48.8568303
2.2780371,48.8578348
2.2954913,48.8470802
2.3193212,48.8751239
2.3164208,48.8752707
2.3180541,48.8777916
2.3175668,48.8765765
2.3130385,48.8766173
2.3183667,48.8795914
2.3225844,48.8818486
2.287172,48.8445537
2.298118,48.848929
2.2975257,48.8448593
2.2896434,48.844937
2.3341784,48.8639768
2.3145756,48.8728127
2.3082352,48.8727355
2.3164825000000002,48.8730075
2.3204627,48.8736476
2.3259576,48.8722561
2.3155587,48.8712783
2.2799328,48.8446408
2.3617807,48.8605866
2.3337187,48.8538018
2.3717062,48.8322455
2.37303,48.8302972
2.3756826,48.8296716
2.2889555,48.8879287
2.2935498,48.888894
2.2961027,48.8901934
2.3583201,48.8319463
2.3444065,48.8535412
2.4060014,48.8527942
2.3094058,48.8336932
2.3921866,48.8716445
2.3894775,48.8729609
2.2767542,48.8546172
2.3820721,48.8695433
2.3862265,48.8715131
2.372414,48.8484636
2.3806458,48.8455069
2.4158499,48.8470892
2.4156776,48.8462106
2.3984467,48.8838281
2.3964237,48.8813616
2.3894881,48.8523206
2.3346429,48.8528637
2.2787792,48.8779683
2.3248579,48.8848011
2.2651673,48.8572799
2.2785655,48.8381888
2.2819249,48.8385082
2.2933747,48.8361965
2.2853067,48.8340664
2.2922791,48.8311316
2.3004268,48.8349694
2.3825811,48.853883
2.382585,48.8504767
2.3844522,48.8499521
2.3876698,48.8504791
2.3804674,48.8574923
2.3257252,48.8976904
2.3162818,48.8929376
2.3203746,48.8913837
2.3275234,48.8929162
2.3260019,48.8946526
2.3267063,48.8960162
2.3287619,48.8979153
2.3290575,48.8988508
2.3268289,48.8741098
2.3314972,48.8813849
2.3226128,48.8698925
2.324437,48.8690381
2.308938,48.8682809
2.3075899,48.867583
2.3081853,48.8662025
2.2922671,48.8567887
2.2971814,48.8529153
2.3007761,48.8510874
2.2986132,48.8496077
2.3219044,48.829672
2.3982217,48.8514736
2.3333365,48.8332144
2.3636157,48.8398102
2.3547708,48.8302998
2.3781154,48.8491774
2.3565888,48.8311541
2.3545682,48.8330843
2.3622084,48.8329033
2.3559482,48.8300228
2.3830897,48.8862492
2.3645602,48.8717291
2.3859158,48.8791826
2.340131,48.8245681
2.3745496,48.8654326
2.3959183,48.8390556
2.3970006,48.8377492
2.2971081,48.8369325
2.2998186,48.8408597
2.3431503,48.8532253
2.2856504,48.886526
2.3866178,48.8417493
2.3881993,48.8411331
2.3989872,48.8504505
2.3427575,48.8312709
2.2732078,48.8473143
2.2703668,48.8463428
2.2874208,48.8706325
2.3022505,48.8354732
2.3895101,48.8390942
2.3900476,48.8371481
